,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
294,ITA,52,21,4,1,0,0,0,0,0,0,0,0,0,78,DOC,2008
295,MBDA,28,0,0,0,0,0,0,0,0,0,0,0,0,28,DOC,2008
296,NIST,133,16,4,9,5,0,1,2,0,1,2,0,1,174,DOC,2008
297,NOAA,274,0,0,0,0,0,0,0,0,0,0,0,0,274,DOC,2008
298,NTIA,3,4,0,0,0,0,0,0,0,0,0,0,0,7,DOC,2008
299,NTIS,11,0,0,0,0,0,0,0,0,0,0,0,0,11,DOC,2008
300,OIG,37,2,1,0,2,0,0,1,0,0,0,2,1,46,DOC,2008
301,OS,160,25,4,0,0,0,0,0,0,0,0,0,0,189,DOC,2008
302,PTO,246,17,1,1,1,0,0,0,0,0,0,1,0,267,DOC,2008
303,Total,1204,122,17,13,10,0,1,3,0,1,2,3,2,1378,DOC,2008
304,BIS,60,11,1,1,1,1,0,0,0,0,0,0,0,75,DOC,2009
305,Census,203,18,2,1,0,0,0,0,0,0,0,0,0,224,DOC,2009
306,EDA,16,0,0,0,0,0,0,0,0,0,0,0,0,16,DOC,2009
307,ESA,10,2,0,0,0,0,0,0,0,0,0,0,0,12,DOC,2009
308,ITA,87,41,3,5,3,0,0,2,0,0,0,0,0,141,DOC,2009
309,MBDA,9,0,0,1,0,0,0,0,0,0,0,0,0,10,DOC,2009
310,NIST,119,24,5,4,2,1,1,0,0,0,1,0,0,157,DOC,2009
311,NOAA,413,0,0,0,0,0,0,0,0,0,0,0,0,413,DOC,2009
312,NTIA,42,1,0,0,0,0,0,0,0,0,0,0,0,43,DOC,2009
313,NTIS,20,0,0,0,0,0,0,0,0,0,0,0,0,20,DOC,2009
314,OIG,38,9,2,0,0,0,0,1,0,1,0,0,0,51,DOC,2009
315,OS,115,47,4,0,0,0,0,0,0,0,0,0,0,166,DOC,2009
316,PTO,94,250,30,1,0,0,0,0,0,0,0,0,0,375,DOC,2009
317,Total,1226,403,47,13,6,2,1,3,0,1,1,0,0,1703,DOC,2009
318,BIS,47,16,7,6,1,1,0,0,1,1,0,0,0,80,DOC,2010
319,Census,214,55,9,2,3,0,1,0,0,0,0,0,0,284,DOC,2010
320,EDA,25,0,0,0,0,0,0,0,0,0,0,0,0,25,DOC,2010
321,ESA,13,0,0,0,0,0,0,0,0,0,0,0,0,13,DOC,2010
322,ITA,41,27,15,1,0,1,0,0,0,0,1,0,0,86,DOC,2010
323,MBDA,2,0,0,0,0,0,0,0,0,0,0,0,0,2,DOC,2010
324,NIST,170,11,6,0,2,1,1,2,1,1,5,0,2,202,DOC,2010
325,NOAA,323,0,0,0,0,0,0,0,0,0,0,0,0,323,DOC,2010
326,NTIA,38,9,0,0,0,0,0,0,0,0,0,0,0,47,DOC,2010
