,Division (Or Total if not subdivision),1-20 Days,21-40 Days,41-60 Days,61-80 Days,81-100 Days,101-120 Days,121-140 Days,141-160 Days,161-180 Days,181-200 Days,201-300 Days,301-400 Days,400+ Days,Total,Agency,Year
1681,OCR-6 Dallas,59,0,0,0,0,0,0,0,0,0,0,0,0,59,ED,2015
1682,OCR-7 Kansas City,9,1,1,0,0,0,0,0,0,0,0,0,0,11,ED,2015
1683,OCR-8 Denver,42,0,0,0,0,0,0,0,0,0,0,0,0,42,ED,2015
1684,OCR-9 San Francisco,65,0,0,0,0,0,0,0,0,0,0,0,0,65,ED,2015
1685,OCR-10 Seattle,70,0,0,0,0,0,0,0,0,0,0,0,0,70,ED,2015
1686,OCR-12 Cleveland,11,0,0,0,0,0,0,0,0,0,0,0,0,11,ED,2015
1687,OCR-Metro D.C.,26,2,2,0,1,0,0,0,0,0,0,0,0,31,ED,2015
1688,ODS,2,0,0,0,0,0,0,0,0,0,0,0,0,2,ED,2015
1689,OESE,46,0,0,0,0,0,0,0,0,0,0,0,0,46,ED,2015
1690,OGC,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2015
1691,OIG,49,1,0,0,0,0,0,0,0,0,0,0,0,50,ED,2015
1692,OII,21,0,0,0,0,0,0,0,0,0,0,0,0,21,ED,2015
1693,OLCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1694,OM,14,1,0,0,0,0,0,0,0,0,0,0,0,15,ED,2015
1695,OPE,47,0,0,0,0,0,0,0,0,0,0,0,0,47,ED,2015
1696,OPEPD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ED,2015
1697,OS,4,0,0,0,0,0,0,0,0,0,0,0,0,4,ED,2015
1698,OSERS,34,0,0,0,0,0,0,0,0,0,0,0,0,34,ED,2015
1699,OUS,1,0,0,0,0,0,0,0,0,0,0,0,0,1,ED,2015
1700,Total,1193,41,26,1,2,1,0,1,0,1,0,0,0,1266,ED,2015
1701,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EEOC,2008
1702,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EEOC,2009
1703,ATLANTA,586,3,0,0,0,0,0,0,0,0,0,0,0,589,EEOC,2010
1704,BIRMINGHAM,648,269,13,2,0,0,0,0,0,0,0,0,0,932,EEOC,2010
1705,CHARLOTTE,855,181,5,0,0,0,0,0,0,0,0,0,0,1041,EEOC,2010
1706,CHICAGO,861,36,3,1,0,0,0,1,0,0,0,0,0,902,EEOC,2010
1707,DALLAS,1610,105,46,4,0,0,0,0,0,0,0,0,0,1765,EEOC,2010
1708,HOUSTON,882,16,0,0,0,0,0,0,0,0,0,0,0,898,EEOC,2010
1709,INDIANAPOLIS,2285,28,0,0,0,0,0,0,0,0,0,0,0,2313,EEOC,2010
1710,LOS ANGELES,737,1,0,0,0,0,0,0,0,0,0,0,0,738,EEOC,2010
1711,MEMPHIS,783,14,0,0,0,0,0,0,0,0,0,0,0,797,EEOC,2010
1712,MIAMI,1223,311,57,36,12,7,4,8,3,1,2,0,0,1664,EEOC,2010
1713,NEW YORK,447,56,15,8,4,5,1,0,0,0,0,0,0,536,EEOC,2010
1714,OLC/HDQ,231,78,15,5,0,0,0,2,0,0,0,0,0,331,EEOC,2010
1715,PHILADELPHIA,1029,240,44,9,4,2,0,0,0,0,0,0,0,1328,EEOC,2010
1716,PHOENIX,437,7,0,0,0,0,0,0,0,0,0,0,0,444,EEOC,2010
1717,SAN FRANCISCO,477,58,3,0,0,0,0,0,0,0,0,0,0,538,EEOC,2010
1718,ST. LOUIS,1008,7,0,0,0,0,0,0,0,0,0,0,0,1015,EEOC,2010
1719,WFO,131,131,127,3,0,0,1,0,0,0,0,0,0,393,EEOC,2010
1720,Total,14230,1541,328,68,20,14,6,11,3,1,2,0,0,16224,EEOC,2010
1721,ATLANTA,615,37,0,0,0,0,0,0,0,0,0,0,0,652,EEOC,2011
1722,BIRMINGHAM,1003,306,21,5,0,0,0,0,0,0,0,0,0,1335,EEOC,2011
1723,CHARLOTTE,730,443,5,0,0,0,0,0,0,0,1,0,0,1179,EEOC,2011
1724,CHICAGO,726,44,0,0,1,0,0,0,0,0,0,0,0,771,EEOC,2011
1725,DALLAS,1557,202,105,9,1,0,0,0,0,0,0,0,0,1874,EEOC,2011
1726,HOUSTON,1051,32,0,0,0,0,0,0,0,0,0,0,0,1083,EEOC,2011
1727,INDIANAPOLIS,2101,36,1,0,0,0,0,0,0,0,0,0,0,2138,EEOC,2011
1728,LOS ANGELES,928,0,0,0,0,0,0,0,0,0,0,0,0,928,EEOC,2011
1729,MEMPHIS,648,47,1,0,0,0,0,0,0,0,0,0,0,696,EEOC,2011
1730,MIAMI,1032,635,79,7,1,0,0,0,0,0,0,0,0,1754,EEOC,2011
1731,NEW YORK,204,103,59,40,23,17,8,15,10,9,15,0,0,503,EEOC,2011
1732,OLC/HDQ,211,97,27,11,1,0,0,0,0,0,0,0,0,347,EEOC,2011
1733,PHILADELPHIA,482,474,98,27,3,3,1,1,2,0,0,0,0,1091,EEOC,2011
1734,PHOENIX,663,19,0,0,0,0,0,0,0,0,0,0,0,682,EEOC,2011
1735,SAN FRANCISCO,726,11,0,1,1,0,0,0,0,0,0,0,0,739,EEOC,2011
1736,ST. LOUIS,1116,3,0,0,0,0,0,0,0,0,0,0,0,1119,EEOC,2011
1737,WFO,164,3,0,0,0,0,0,0,0,0,0,0,0,167,EEOC,2011
1738,Total,13957,2492,396,100,31,20,9,16,12,9,16,0,0,17058,EEOC,2011
1739,ATLANTA,398,223,106,51,18,16,1,1,1,0,0,0,1,816,EEOC,2012
1740,BIRMINGHAM,914,418,22,3,0,0,0,0,0,0,0,0,0,1357,EEOC,2012
1741,CHARLOTTE,1098,168,0,0,0,0,0,0,0,0,0,0,0,1266,EEOC,2012
1742,CHICAGO,771,131,0,0,0,0,0,0,0,0,0,0,0,902,EEOC,2012
1743,DALLAS,1342,284,123,8,0,2,1,0,0,0,0,0,0,1760,EEOC,2012
1744,HOUSTON,955,17,0,0,0,0,0,0,0,0,0,0,0,972,EEOC,2012
1745,INDIANAPOLIS,1926,77,0,0,0,0,0,0,0,0,0,0,0,2003,EEOC,2012
1746,LOS ANGELES,943,0,0,0,0,0,0,0,0,0,0,0,0,943,EEOC,2012
1747,MEMPHIS,592,220,30,2,0,0,0,0,0,0,0,0,0,844,EEOC,2012
1748,MIAMI,894,672,2,0,1,0,0,0,0,0,0,0,0,1569,EEOC,2012
1749,NEW YORK,313,189,95,74,31,22,16,11,4,1,13,0,0,769,EEOC,2012
1750,OLC/HDQ,250,122,14,6,0,1,1,1,0,0,1,0,1,397,EEOC,2012
1751,PHILADELPHIA,333,561,67,8,2,0,0,1,1,0,1,0,0,974,EEOC,2012
1752,PHOENIX,582,4,0,0,0,0,0,0,0,0,0,0,0,586,EEOC,2012
1753,SAN FRANCISCO,475,182,11,0,0,0,0,0,0,0,0,0,0,668,EEOC,2012
1754,ST. LOUIS,1053,144,0,0,0,0,0,0,0,0,0,0,0,1197,EEOC,2012
1755,WFO,233,3,0,0,0,0,0,0,0,0,0,0,0,236,EEOC,2012
1756,Total,13072,3415,470,152,52,41,19,14,6,1,15,0,2,17259,EEOC,2012
1757,ATLANTA,833,368,100,69,15,18,4,5,1,0,0,0,0,1413,EEOC,2013
1758,BIRMINGHAM,488,767,41,13,0,1,0,0,0,0,0,0,0,1310,EEOC,2013
1759,CHARLOTTE,1157,118,0,0,0,0,0,0,0,0,0,0,0,1275,EEOC,2013
1760,CHICAGO,810,159,6,0,0,0,0,0,0,0,0,0,0,975,EEOC,2013
1761,DALLAS,1265,166,183,27,8,5,0,0,0,0,0,0,0,1654,EEOC,2013
1762,HOUSTON,923,18,1,0,0,0,0,0,0,0,0,0,0,942,EEOC,2013
1763,INDIANAPOLIS,1939,69,0,0,0,0,0,0,0,0,0,0,0,2008,EEOC,2013
1764,LOS ANGELES,1009,0,0,0,0,0,0,0,0,0,0,0,0,1009,EEOC,2013
1765,MEMPHIS,486,179,7,0,0,0,0,0,0,0,0,0,0,672,EEOC,2013
1766,MIAMI,1305,592,18,2,0,1,0,0,0,0,0,0,0,1918,EEOC,2013
1767,NEW YORK,392,205,60,77,39,45,28,14,5,1,1,0,0,867,EEOC,2013
1768,OLC/HDQ,362,64,5,4,1,1,0,0,0,0,0,0,0,437,EEOC,2013
1769,PHILADELPHIA,440,680,221,54,8,1,0,0,0,0,0,0,0,1404,EEOC,2013
1770,PHOENIX,481,49,0,0,0,0,0,0,0,0,0,0,0,530,EEOC,2013
1771,SAN FRANCISCO,307,278,77,30,9,0,0,0,0,0,2,0,0,703,EEOC,2013
1772,ST. LOUIS,1022,93,19,12,14,2,0,0,0,0,0,1,0,1163,EEOC,2013
1773,WFO,185,1,1,0,0,0,0,0,0,0,0,0,0,187,EEOC,2013
1774,Total,13404,3806,739,288,94,74,32,19,6,1,3,1,0,18467,EEOC,2013
1775,ATLANTA,1213,85,11,1,0,0,0,0,0,0,0,0,0,1310,EEOC,2014
1776,BIRMINGHAM,250,635,210,16,3,0,0,0,0,0,0,0,0,1114,EEOC,2014
1777,CHARLOTTE,945,86,0,0,0,0,0,0,0,0,1,0,0,1032,EEOC,2014
1778,CHICAGO,628,94,0,1,0,0,0,0,0,0,0,0,0,723,EEOC,2014
1779,DALLAS,1200,96,182,101,39,10,5,3,1,0,0,0,0,1637,EEOC,2014
1780,HOUSTON,647,98,24,2,0,1,0,0,0,0,0,0,0,772,EEOC,2014
1781,INDIANAPOLIS,1703,35,0,0,0,0,0,0,0,0,0,0,0,1738,EEOC,2014
1782,LOS ANGELES,1116,0,0,0,0,0,0,0,0,0,1,0,0,1117,EEOC,2014
1783,MEMPHIS,471,208,70,0,0,0,0,0,0,0,0,0,0,749,EEOC,2014
1784,MIAMI,1302,295,62,28,0,0,0,0,0,0,0,0,0,1687,EEOC,2014
1785,NEW YORK,338,171,71,43,47,26,25,18,4,0,0,0,0,743,EEOC,2014
1786,OLC/HDQ,297,114,16,4,6,0,0,0,0,1,0,0,0,438,EEOC,2014
1787,PHILADELPHIA,513,501,132,86,41,9,0,0,0,0,1,1,0,1284,EEOC,2014
1788,PHOENIX,491,45,0,0,0,0,0,0,0,0,0,0,0,536,EEOC,2014
1789,SAN FRANCISCO,454,114,46,49,49,24,4,2,0,0,2,0,0,744,EEOC,2014
1790,ST. LOUIS,870,8,3,2,1,0,0,0,0,0,0,0,0,884,EEOC,2014
1791,WFO,185,14,0,0,0,0,0,0,0,0,0,0,0,199,EEOC,2014
1792,Total,12623,2599,827,333,186,70,34,23,5,1,5,1,0,16707,EEOC,2014
1793,ATLANTA,1268,129,20,5,0,0,0,0,0,0,1,0,0,1423,EEOC,2015
1794,BIRMINGHAM,500,476,22,0,0,0,0,0,0,0,0,0,0,998,EEOC,2015
1795,CHARLOTTE,722,187,4,0,0,0,0,0,0,0,0,0,0,913,EEOC,2015
1796,CHICAGO,161,86,5,0,0,0,0,0,0,0,0,0,0,252,EEOC,2015
1797,DALLAS,1141,83,99,95,70,9,1,2,1,0,0,0,0,1501,EEOC,2015
1798,HOUSTON,627,53,64,49,17,6,5,2,0,0,0,0,0,823,EEOC,2015
1799,INDIANAPOLIS,1643,112,0,0,0,0,0,0,0,0,0,0,0,1755,EEOC,2015
1800,LOS ANGELES,1241,33,0,0,0,0,0,0,0,0,0,0,0,1274,EEOC,2015
1801,MEMPHIS,629,64,2,0,0,0,0,0,0,0,0,0,0,695,EEOC,2015
1802,MIAMI,966,526,18,1,0,0,0,0,0,0,0,0,0,1511,EEOC,2015
1803,NEW YORK,416,262,59,5,0,0,0,0,0,0,0,0,0,742,EEOC,2015
1804,OLC/HDQ,391,130,38,7,4,1,0,0,0,0,0,1,0,572,EEOC,2015
1805,PHILADELPHIA,404,587,186,60,73,0,0,0,0,0,0,0,0,1310,EEOC,2015
1806,PHOENIX,138,209,218,14,1,0,0,1,0,0,0,0,0,581,EEOC,2015
1807,SAN FRANCISCO,441,140,44,22,40,15,9,8,21,11,31,2,0,784,EEOC,2015
1808,ST. LOUIS,758,257,12,3,0,0,0,0,0,0,0,0,0,1030,EEOC,2015
1809,WFO,212,21,2,0,0,0,0,0,0,0,0,0,0,235,EEOC,2015
1810,Total,11658,3355,793,261,205,31,15,13,22,11,32,3,0,16399,EEOC,2015
1811,HQ,1259,283,140,72,105,46,17,12,10,10,43,13,36,2046,EPA,2008
1812,Region 1,174,60,5,0,1,1,1,0,1,0,1,0,0,244,EPA,2008
1813,Region 2,200,463,264,247,237,217,190,160,154,150,232,10,4,2528,EPA,2008
1814,Region 3,659,737,6,0,1,0,0,0,0,0,0,0,0,1403,EPA,2008
1815,Region 4,562,79,3,1,0,0,0,0,0,0,0,0,0,645,EPA,2008
1816,Region 5,1421,209,41,18,2,2,0,0,0,0,0,0,0,1693,EPA,2008
1817,Region 6,232,156,73,26,14,7,4,0,1,3,3,0,0,519,EPA,2008
1818,Region 7,533,89,13,5,4,15,1,1,0,0,0,0,1,662,EPA,2008
1819,Region 8,315,44,8,3,3,0,0,0,0,0,3,1,1,378,EPA,2008
1820,Region 9,338,300,34,5,2,2,0,0,0,0,0,0,0,681,EPA,2008
1821,Region 10,248,82,20,14,1,2,3,1,2,1,1,0,1,376,EPA,2008
1822,Total,5941,2502,607,391,370,292,216,174,168,164,283,24,43,11175,EPA,2008
1823,HQ,1213,358,129,68,46,30,24,18,24,19,53,17,56,2055,EPA,2009
1824,Region 1,194,46,4,1,0,0,0,0,1,0,0,0,0,246,EPA,2009
1825,Region 2,149,480,602,390,112,30,17,22,15,11,37,0,2,1867,EPA,2009
1826,Region 3,541,611,9,0,0,0,1,0,0,0,0,0,0,1162,EPA,2009
1827,Region 4,578,120,5,4,0,1,0,0,0,0,0,0,0,708,EPA,2009
1828,Region 5,1346,179,33,11,2,1,1,0,2,0,1,2,0,1578,EPA,2009
1829,Region 6,100,185,103,64,28,20,17,5,13,12,34,20,13,614,EPA,2009
1830,Region 7,400,99,9,4,1,1,0,1,0,0,0,0,4,519,EPA,2009
1831,Region 8,289,32,6,2,0,0,0,0,0,0,0,0,0,329,EPA,2009
1832,Region 9,376,183,19,7,0,0,0,0,0,0,0,0,0,585,EPA,2009
1833,Region 10,256,97,36,17,7,3,1,2,2,1,2,2,2,428,EPA,2009
1834,Total,5442,2390,955,568,196,86,61,48,57,43,127,41,77,10091,EPA,2009
1835,HQ,967,439,111,72,48,40,36,25,18,10,45,22,65,1898,EPA,2010
1836,Region 1,170,57,15,3,1,0,0,0,1,0,3,0,0,250,EPA,2010
1837,Region 2,154,332,193,69,165,105,134,99,9,7,10,0,1,1278,EPA,2010
1838,Region 3,653,605,53,7,2,2,1,0,0,0,0,0,0,1323,EPA,2010
1839,Region 4,530,204,32,9,6,2,3,2,1,0,1,0,0,790,EPA,2010
1840,Region 5,1380,146,33,12,3,1,1,0,0,0,0,0,0,1576,EPA,2010
1841,Region 6,184,226,78,31,8,12,1,4,3,0,3,4,10,564,EPA,2010
1842,Region 7,383,127,9,2,2,0,0,0,0,0,0,0,0,523,EPA,2010
1843,Region 8,299,44,12,0,1,0,1,0,0,0,0,0,0,357,EPA,2010
1844,Region 9,257,196,32,8,2,4,0,0,0,0,1,0,0,500,EPA,2010
1845,Region 10,268,96,20,6,4,4,2,2,2,2,7,1,2,416,EPA,2010
1846,Total,5245,2472,588,219,242,170,179,132,34,19,70,27,78,9475,EPA,2010
1847,HQ,1132,471,195,94,66,38,50,24,23,25,87,45,88,2338,EPA,2011
1848,Region 1,148,55,11,1,2,2,0,0,0,1,0,0,0,220,EPA,2011
1849,Region 2,150,224,181,203,119,122,298,219,60,4,20,104,0,1704,EPA,2011
1850,Region 3,552,597,36,4,0,0,1,0,0,0,0,0,0,1190,EPA,2011
1851,Region 4,429,235,59,19,10,1,1,1,0,0,1,0,1,757,EPA,2011
1852,Region 5,1158,178,35,6,4,2,3,0,2,0,2,0,0,1390,EPA,2011
1853,Region 6,217,239,60,25,13,7,2,3,2,0,4,0,2,574,EPA,2011
1854,Region 7,552,82,2,2,0,1,1,0,0,0,0,0,0,640,EPA,2011
1855,Region 8,252,54,12,1,3,0,0,0,0,0,0,1,0,323,EPA,2011
1856,Region 9,470,135,21,4,2,0,0,0,1,0,0,1,0,634,EPA,2011
1857,Region 10,251,131,28,7,3,1,2,2,3,7,9,0,0,444,EPA,2011
1858,Total,5311,2401,640,366,222,174,358,249,91,37,123,151,91,10214,EPA,2011
1859,HQ,801,0,0,0,0,0,0,0,0,0,0,0,0,801,EPA,2012
1860,Region 1,164,0,0,0,0,0,0,0,0,0,0,0,0,164,EPA,2012
1861,Region 2,154,0,0,0,0,0,0,0,0,0,0,0,0,154,EPA,2012
1862,Region 3,357,0,0,0,0,0,0,0,0,0,0,0,0,357,EPA,2012
1863,Region 4,450,0,0,0,0,0,0,0,0,0,0,0,0,450,EPA,2012
1864,Region 5,974,0,0,0,0,0,0,0,0,0,0,0,0,974,EPA,2012
1865,Region 6,163,0,0,0,0,0,0,0,0,0,0,0,0,163,EPA,2012
1866,Region 7,486,0,0,0,0,0,0,0,0,0,0,0,0,486,EPA,2012
1867,Region 8,186,0,0,0,0,0,0,0,0,0,0,0,0,186,EPA,2012
1868,Region 9,338,0,0,0,0,0,0,0,0,0,0,0,0,338,EPA,2012
1869,Region 10,183,0,0,0,0,0,0,0,0,0,0,0,0,183,EPA,2012
1870,Total,4256,0,0,0,0,0,0,0,0,0,0,0,0,4256,EPA,2012
1871,HQ,485,12,9,23,8,7,6,5,3,3,12,7,34,614,EPA,2013
1872,Region 1,155,4,18,1,0,0,0,0,0,0,0,0,0,178,EPA,2013
1873,Region 2,514,0,0,0,1,0,0,0,0,0,0,0,0,515,EPA,2013
1874,Region 3,81,32,11,33,1,0,0,0,0,0,0,0,0,158,EPA,2013
1875,Region 4,352,0,0,0,0,0,0,0,0,0,0,0,0,352,EPA,2013
1876,Region 5,774,54,15,1,1,2,1,0,0,0,0,2,0,850,EPA,2013
1877,Region 6,7,0,0,0,0,1,0,2,1,0,7,0,6,24,EPA,2013
1878,Region 7,431,10,2,0,0,2,0,1,0,0,0,0,0,446,EPA,2013
1879,Region 8,164,0,0,0,0,6,10,0,0,0,0,1,0,181,EPA,2013
1880,Region 9,251,0,0,0,0,0,0,0,0,0,0,0,0,251,EPA,2013
1881,Region 10,202,0,1,0,1,0,0,1,0,3,2,1,1,212,EPA,2013
1882,Total,3416,112,56,58,12,18,17,9,4,6,21,11,41,3781,EPA,2013
1883,HQ,604,0,0,0,0,0,0,0,0,0,0,0,0,604,EPA,2014
1884,Region 1,165,0,0,0,0,0,0,0,0,0,0,0,0,165,EPA,2014
1885,Region 2,439,0,0,0,0,0,0,0,0,0,0,0,0,439,EPA,2014
1886,Region 3,94,0,0,0,0,0,0,0,0,0,0,0,0,94,EPA,2014
1887,Region 4,293,0,0,0,0,0,0,0,0,0,0,0,0,293,EPA,2014
1888,Region 5,1278,0,0,0,0,0,0,0,0,0,0,0,0,1278,EPA,2014
1889,Region 6,9,0,0,0,0,0,0,0,0,0,0,0,0,9,EPA,2014
1890,Region 7,398,0,0,0,0,0,0,0,0,0,0,0,0,398,EPA,2014
1891,Region 8,179,0,0,0,0,0,0,0,0,0,0,0,0,179,EPA,2014
1892,Region 9,455,0,0,0,0,0,0,0,0,0,0,0,0,455,EPA,2014
1893,Region 10,155,0,0,0,0,0,0,0,0,0,0,0,0,155,EPA,2014
1894,Total,4069,0,0,0,0,0,0,0,0,0,0,0,0,4069,EPA,2014
1895,HQ,486,0,0,0,0,0,0,0,0,0,0,0,0,486,EPA,2015
1896,Region 1,238,0,0,0,0,0,0,0,0,0,0,0,0,238,EPA,2015
1897,Region 2,738,0,0,0,0,0,0,0,0,0,0,0,0,738,EPA,2015
1898,Region 3,221,0,0,0,0,0,0,0,0,0,0,0,0,221,EPA,2015
1899,Region 4,297,0,0,0,0,0,0,0,0,0,0,0,0,297,EPA,2015
1900,Region 5,1376,0,0,0,0,0,0,0,0,0,0,0,0,1376,EPA,2015
1901,Region 6,20,0,0,0,0,0,0,0,0,0,0,0,0,20,EPA,2015
1902,Region 7,245,0,0,0,0,0,0,0,0,0,0,0,0,245,EPA,2015
1903,Region 8,212,0,0,0,0,0,0,0,0,0,0,0,0,212,EPA,2015
1904,Region 9,589,0,0,0,0,0,0,0,0,0,0,0,0,589,EPA,2015
1905,Region 10,254,0,0,0,0,0,0,0,0,0,0,0,0,254,EPA,2015
1906,Total,4676,0,0,0,0,0,0,0,0,0,0,0,0,4676,EPA,2015
1907,Ex-Im Bank,25,14,0,0,0,0,0,0,0,0,0,0,0,39,Ex,Im Bank
1908,Total,25,14,0,0,0,0,0,0,0,0,0,0,0,39,Ex,Im Bank
1909,AGENCY,15,24,20,9,2,2,0,0,0,1,1,0,0,74,Ex,Im Bank
1910,Total,15,24,20,9,2,2,0,0,0,1,1,0,0,74,Ex,Im Bank
1911,HQ,21,26,12,7,0,0,0,0,0,0,0,0,0,66,Ex,Im Bank
1912,Total,21,26,12,7,0,0,0,0,0,0,0,0,0,66,Ex,Im Bank
1913,HQ,34,17,14,3,0,2,1,1,1,0,0,0,0,73,Ex,Im Bank
1914,Total,34,17,14,3,0,2,1,1,1,0,0,0,0,73,Ex,Im Bank
1915,HQ,14,4,1,2,3,0,2,0,0,0,2,0,0,28,Ex,Im Bank
1916,Total,14,4,1,2,3,0,2,0,0,0,2,0,0,28,Ex,Im Bank
1917,HQ,9,3,1,2,1,1,1,2,1,2,2,0,0,25,Ex,Im Bank
1918,Total,9,3,1,2,1,1,1,2,1,2,2,0,0,25,Ex,Im Bank
1919,OIG,1,2,1,1,0,0,0,0,0,0,0,0,0,5,Ex,Im Bank
1920,HQ,3,8,4,4,1,2,0,1,0,0,3,2,0,28,Ex,Im Bank
1921,Total,4,10,5,5,1,2,0,1,0,0,3,2,0,33,Ex,Im Bank
1922,OIG,4,0,0,0,0,0,0,0,0,0,0,0,0,4,Ex,Im Bank
1923,HQ,23,4,8,4,2,4,0,0,1,1,1,1,2,51,Ex,Im Bank
1924,Total,27,4,8,4,2,4,0,0,1,1,1,1,2,55,Ex,Im Bank
1925,Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,FCA,2008
1926,Total,32,0,0,0,0,0,0,0,0,0,0,0,0,32,FCA,2009
1927,Total,26,0,0,0,0,0,0,0,0,0,0,0,0,26,FCA,2010
1928,Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,FCA,2011
1929,Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,FCA,2012
1930,Total,28,0,0,0,0,0,0,0,0,0,0,0,0,28,FCA,2013
1931,Total,37,0,0,0,0,0,0,0,0,0,0,0,0,37,FCA,2014
1932,Total,35,0,0,0,0,0,0,0,0,0,0,0,0,35,FCA,2015
1933,Total,491,158,34,32,5,2,5,1,1,0,1,0,0,730,FCC,2008
1934,Total,390,149,72,9,11,2,3,2,2,7,8,1,3,659,FCC,2009
1935,Total,440,89,22,20,11,6,2,0,0,2,1,2,3,598,FCC,2010
1936,Total,416,117,33,12,5,1,1,2,0,0,4,1,2,594,FCC,2011
1937,Total,351,84,19,8,4,3,3,0,0,1,2,0,3,478,FCC,2012
1938,Total,372,123,35,7,5,3,3,1,2,0,4,4,7,566,FCC,2013
1939,Total,430,132,36,19,5,5,2,1,0,1,3,1,1,636,FCC,2014
1940,Total,501,144,27,16,15,5,3,2,2,0,4,0,0,719,FCC,2015
1941,Total,6,0,0,0,0,0,0,0,0,0,0,0,0,6,FCSIC,2008
1942,Total,3,0,0,0,0,0,0,0,0,0,0,0,0,3,FCSIC,2009
1943,Total,8,0,0,0,0,0,0,0,0,0,0,0,0,8,FCSIC,2010
1944,Total,10,0,0,0,0,0,0,0,0,0,0,0,0,10,FCSIC,2011
1945,Total,5,0,0,0,0,0,0,0,0,0,0,0,0,5,FCSIC,2012
1946,Total,8,0,0,0,0,0,0,0,0,0,0,0,0,8,FCSIC,2013
1947,Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FCSIC,2014
1948,Total,7,0,0,0,0,0,0,0,0,0,0,0,0,7,FCSIC,2015
1949,Total,451,62,3,0,0,0,0,0,0,0,0,0,0,516,FDIC,2008
1950,Total,1235,37,1,2,0,0,0,0,0,0,0,0,0,1275,FDIC,2009
1951,Total,528,175,47,24,31,34,25,13,51,15,4,0,0,947,FDIC,2010
1952,Total,1019,178,36,13,3,2,1,0,0,0,0,0,0,1252,FDIC,2011
1953,Total,725,109,8,3,0,0,0,0,0,0,0,0,0,845,FDIC,2012
1954,Total,66,547,81,6,0,0,0,0,0,0,0,0,0,700,FDIC,2013
1955,Total,439,28,1,0,0,0,0,0,0,0,0,0,0,468,FDIC,2014
1956,Total,188,124,12,3,1,1,0,0,0,0,0,0,0,329,FDIC,2015
1957,Total,25,13,9,12,5,1,5,1,1,0,3,2,0,77,FEC,2008
1958,Total,28,9,5,3,2,4,0,1,0,1,1,1,0,55,FEC,2009
1959,Total,43,16,4,3,3,1,3,0,0,1,3,0,2,79,FEC,2010
1960,Total,29,25,7,1,3,3,0,1,1,0,2,1,0,73,FEC,2011
1961,Total,27,4,5,4,4,1,1,0,1,0,2,1,0,50,FEC,2012
1962,Total,50,9,0,0,0,0,0,0,0,0,0,0,0,59,FEC,2013
1963,Total,46,26,2,2,1,1,1,0,0,0,0,0,0,79,FEC,2014
1964,Total,44,8,2,1,0,2,1,1,0,0,0,0,0,59,FEC,2015
1965,Total,27,17,0,0,0,0,0,0,0,0,0,0,0,44,FERC,2008
1966,Total,33,24,1,0,0,0,0,0,0,0,0,0,0,58,FERC,2009
1967,Total,24,18,2,3,1,1,1,0,0,0,1,0,0,51,FERC,2010
1968,Total,24,16,0,0,0,0,0,0,0,0,0,0,0,40,FERC,2011
1969,Total,10,20,0,0,0,0,0,0,0,0,0,0,0,30,FERC,2012
1970,Total,27,26,0,1,1,0,0,0,0,0,0,0,0,55,FERC,2013
1971,Total,28,34,4,2,0,0,0,0,0,0,0,0,0,68,FERC,2014
1972,Total,45,35,2,0,0,0,1,0,0,0,0,0,0,83,FERC,2015
1973,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FFIEC,2008
1974,Total,1,0,0,0,0,0,0,0,0,0,0,0,0,1,FFIEC,2009
1975,Total,20,0,0,0,0,0,0,0,0,0,0,0,0,20,FFIEC,2010
1976,Total,22,0,0,0,0,0,0,0,0,0,0,0,0,22,FFIEC,2011
1977,Total,21,0,0,0,0,0,0,0,0,0,0,0,0,21,FFIEC,2012
1978,Total,17,5,0,0,0,0,0,0,0,0,0,0,0,22,FFIEC,2013
1979,Total,16,2,0,0,0,0,0,0,0,0,0,0,0,18,FFIEC,2014
1980,Total,17,1,0,0,0,0,0,0,0,0,0,0,0,18,FFIEC,2015
1981,Total,0,0,0,0,0,0,0,0,0,0,0,0,0,0,FHFA,2008
1983,Total,53,11,1,0,0,0,0,0,0,0,0,0,0,65,FHFA,2009
1984,Total,30,13,9,7,4,11,1,1,2,0,0,0,0,78,FHFA,2010
1985,FHFA FOIA,60,8,1,2,0,0,0,0,0,0,0,0,0,71,FHFA,2011
1986,FHFA-OIG,4,0,0,0,0,0,0,0,0,0,0,0,0,4,FHFA,2011
1987,Total,64,8,1,2,0,0,0,0,0,0,0,0,0,75,FHFA,2011
1988,FHFA FOIA,90,14,3,0,0,0,0,0,1,0,0,0,0,108,FHFA,2012
1989,FHFA-OIG,25,0,0,0,0,0,0,0,0,0,0,0,0,25,FHFA,2012
1990,Total,115,14,3,0,0,0,0,0,1,0,0,0,0,133,FHFA,2012
1991,FHFA-HQ,58,11,10,2,0,1,0,0,0,0,0,0,0,82,FHFA,2013
