Agency,Average Number of Days,Component,Highest Number of Days,Lowest Number of Days,Median Number of Days,Year
OSTP,11.0,OSTP,11.0,11.0,11.0,2010
PBGC,28.0,PBGC,34.0,20.0,31.0,2010
PC,23.0,FOIA Office,46.0,10.0,21.0,2010
PC,0.0,OIG,0.0,0.0,0.0,2010
PRC,11.0,PRC,11.0,11.0,11.0,2010
SBA,14.6,SBA,32.0,4.0,15.0,2010
SEC,47.8,HQ,1262.0,0.0,11.0,2010
SIGAR,0.0,SIGAR,0.0,0.0,0.0,2010
SIGIR,20.0,SIGIR,20.0,20.0,20.0,2010
SSA,42.0,SSA,169.0,1.0,36.0,2010
SSS,0.0,SSS,0.0,0.0,0.0,2010
State,619.0,DoS,1506.0,,664.0,2010
STB,0.0,STB,0.0,0.0,0.0,2010
Treasury,19.5,BEP,20.0,19.0,19.0,2010
Treasury,17.0,BPD,18.0,16.0,17.0,2010
Treasury,308.0,DO,3787.0,15.0,63.0,2010
Treasury,26.6,FinCEN,39.0,8.0,33.0,2010
Treasury,15.0,FMS,17.0,11.0,15.0,2010
Treasury,83.0,IRS,739.0,8.0,65.0,2010
Treasury,6.0,MINT,8.0,1.0,8.0,2010
Treasury,36.8,OCC,184.0,0.0,27.5,2010
Treasury,185.0,OTS,125.0,16.0,30.0,2010
Treasury,18.2,TIGTA,108.0,1.0,14.5,2010
Treasury,20.0,TTB,20.0,20.0,20.0,2010
TVA,20.0,TVA,20.0,20.0,20.0,2010
U.S. CPSC,16.0,U.S. CPSC,20.0,5.0,17.0,2010
U.S. DOL,219.74,DOL,1687.0,0.0,81.5,2010
US ADF,0.0,US ADF,0.0,0.0,0.0,2010
US RRB,0.0,OIG,0.0,0.0,0.0,2010
US RRB,21.0,RRB,21.0,21.0,21.0,2010
USAID,72.14,USAID,132.0,30.0,67.0,2010
USCCR,0.0,USCCR,0.0,0.0,0.0,2010
USDA,163.0,AMS,1197.0,1.0,23.5,2010
USDA,964.0,APHIS,1741.0,107.0,922.0,2010
USDA,0.0,ASCR,0.0,0.0,0.0,2010
USDA,14.0,DM,22.0,6.0,14.0,2010
USDA,0.0,FAS,0.0,0.0,0.0,2010
USDA,117.0,FNCS,300.0,28.0,91.0,2010
USDA,100.44,FS,720.0,0.0,55.5,2010
USDA,219.0,FSA,2160.0,1.0,16.0,2010
USDA,0.0,FSIS,0.0,0.0,0.0,2010
USDA,31.0,GIPSA,31.0,31.0,31.0,2010
USDA,0.0,NAD,0.0,0.0,0.0,2010
USDA,1.0,NRCS,1.0,1.0,1.0,2010
USDA,0.0,OBPA,0.0,0.0,0.0,2010
USDA,0.0,OCFO,0.0,0.0,0.0,2010
USDA,171.0,OGC,566.0,55.0,102.0,2010
USDA,38.0,OIG,128.0,9.0,12.0,2010
USDA,0.0,OSEC,0.0,0.0,0.0,2010
USDA,561.0,RD,1265.0,22.0,617.0,2010
USDA,19.0,REE,33.0,10.0,16.0,2010
USDA,238.0,RMA,417.0,59.0,238.0,2010
USIBWC,20.0,USIBWC,20.0,20.0,20.0,2010
USITC,22.0,USITC,22.0,22.0,22.0,2010
USNRC,31.0,USNRC,133.0,,24.0,2010
USPS,21.0,PS and PIS,135.0,5.0,20.0,2010
USPS,14.0,OIG,23.0,6.0,14.0,2010
USTDA,0.0,USTDA,0.0,0.0,0.0,2010
USTR,32.0,USTR,47.0,17.0,32.0,2010
VA,180.26,GC,997.0,1.0,138.0,2010
ABMC,0.0,ABMC,0.0,0.0,0.0,2011
ACUS,0.0,ACUS,0.0,0.0,0.0,2011
AFRH,25.0,AFRH,25.0,25.0,25.0,2011
BBG,17.0,BBG,28.0,5.0,18.0,2011
CEQ,0.0,CEQ,0.0,0.0,0.0,2011
CFTC,84.67,CFTC,116.0,48.0,90.0,2011
CIA,186.0,CIA,2362.0,0.0,158.0,2011
CIGIE,0.0,CIGIE,0.0,0.0,0.0,2011
CNCS,0.0,CNCS,17.0,17.0,0.0,2011
CO,20.0,CO,20.0,20.0,20.0,2011
CPPBSD,0.0,CPPBSD,0.0,0.0,0.0,2011
CSB,20.0,CSB,20.0,20.0,20.0,2011
CSOSA,0.0,CSOSA,0.0,0.0,0.0,2011
DHS,20.8,CBP,126.0,1.0,20.0,2011
DHS,31.0,FLETC,31.0,31.0,31.0,2011
DHS,40.0,ICE,135.0,1.0,32.0,2011
DHS,700.48,OGC,1527.0,46.0,659.0,2011
DHS,441.86,OIG,851.0,38.0,557.0,2011
DHS,71.09,TSA,315.0,3.0,54.0,2011
DHS,102.0,USCG,422.0,12.0,135.0,2011
DHS,52.0,USCIS,179.0,1.0,60.0,2011
DHS,32.0,USSS,137.0,12.0,20.0,2011
DNFSB,0.0,OGC,0.0,0.0,0.0,2011
